"","x"
"2024-01-01 01:00:00",0
"2024-01-01 01:15:00",0
"2024-01-01 01:30:00",0
"2024-01-01 01:45:00",0
"2024-01-01 02:00:00",0
"2024-01-01 02:15:00",0
"2024-01-01 02:30:00",0
"2024-01-01 02:45:00",0
"2024-01-01 03:00:00",0
"2024-01-01 03:15:00",0
"2024-01-01 03:30:00",0
"2024-01-01 03:45:00",0
"2024-01-01 04:00:00",0
"2024-01-01 04:15:00",0
"2024-01-01 04:30:00",0
"2024-01-01 04:45:00",0
"2024-01-01 05:00:00",0
"2024-01-01 05:15:00",0
"2024-01-01 05:30:00",0
"2024-01-01 05:45:00",0
"2024-01-01 06:00:00",0
"2024-01-01 06:15:00",0
"2024-01-01 06:30:00",0
"2024-01-01 06:45:00",0
"2024-01-01 07:00:00",0
"2024-01-01 07:15:00",0.95456801561877
"2024-01-01 07:30:00",2.87567149025722
"2024-01-01 07:45:00",6.19660658104246
"2024-01-01 08:00:00",11.3506694451016
"2024-01-01 08:15:00",18.5496319347523
"2024-01-01 08:30:00",27.1191686830742
"2024-01-01 08:45:00",36.1634300183376
"2024-01-01 09:00:00",44.7865662688126
"2024-01-01 09:15:00",52.2832637572091
"2024-01-01 09:30:00",58.7103527839955
"2024-01-01 09:45:00",64.3151996440796
"2024-01-01 10:00:00",69.3451706323694
"2024-01-01 10:15:00",73.9945773676224
"2024-01-01 10:30:00",78.245512763994
"2024-01-01 10:45:00",82.0270150594893
"2024-01-01 11:00:00",85.2681224921132
"2024-01-01 11:15:00",87.9181791284533
"2024-01-01 11:30:00",90.0077523494269
"2024-01-01 11:45:00",91.5877153645336
"2024-01-01 12:00:00",92.7089413832733
"2024-01-01 12:15:00",93.4090758617662
"2024-01-01 12:30:00",93.6728532426143
"2024-01-01 12:45:00",93.4717802150404
"2024-01-01 13:00:00",92.7773634682671
"2024-01-01 13:15:00",91.5669576594343
"2024-01-01 13:30:00",89.8413093173513
"2024-01-01 13:45:00",87.6070129387447
"2024-01-01 14:00:00",84.8706630203412
"2024-01-01 14:15:00",81.633360119648
"2024-01-01 14:30:00",77.874229037295
"2024-01-01 14:45:00",73.5669006346923
"2024-01-01 15:00:00",68.6850057732505
"2024-01-01 15:15:00",63.1946751412858
"2024-01-01 15:30:00",57.0320387347388
"2024-01-01 15:45:00",50.125726376456
"2024-01-01 16:00:00",42.4043678892838
"2024-01-01 16:15:00",33.9320847015198
"2024-01-01 16:30:00",25.3149646632657
"2024-01-01 16:45:00",17.2945872300743
"2024-01-01 17:00:00",10.6125318574984
"2024-01-01 17:15:00",5.82132924977191
"2024-01-01 17:30:00",2.71731510585348
"2024-01-01 17:45:00",0.907776373382909
"2024-01-01 18:00:00",0
"2024-01-01 18:15:00",0
"2024-01-01 18:30:00",0
"2024-01-01 18:45:00",0
"2024-01-01 19:00:00",0
"2024-01-01 19:15:00",0
"2024-01-01 19:30:00",0
"2024-01-01 19:45:00",0
"2024-01-01 20:00:00",0
"2024-01-01 20:15:00",0
"2024-01-01 20:30:00",0
"2024-01-01 20:45:00",0
"2024-01-01 21:00:00",0
"2024-01-01 21:15:00",0
"2024-01-01 21:30:00",0
"2024-01-01 21:45:00",0
"2024-01-01 22:00:00",0
