"","x"
"2024-01-01 01:00:00",1.68749177278505
"2024-01-01 01:15:00",3.94114635480297
"2024-01-01 01:30:00",4.87185213428343
"2024-01-01 01:45:00",4.80821152854261
"2024-01-01 02:00:00",4.07882695489667
"2024-01-01 02:15:00",3.07956343606087
"2024-01-01 02:30:00",2.4753364163467
"2024-01-01 02:45:00",2.99832394546472
"2024-01-01 03:00:00",5.38070407312547
"2024-01-01 03:15:00",10.0183418220442
"2024-01-01 03:30:00",15.9618501069549
"2024-01-01 03:45:00",21.9255288155963
"2024-01-01 04:00:00",26.623677835707
"2024-01-01 04:15:00",29.1261847588304
"2024-01-01 04:30:00",29.9252879917285
"2024-01-01 04:45:00",29.8688136449678
"2024-01-01 05:00:00",29.804587829115
"2024-01-01 05:15:00",30.383964622098
"2024-01-01 05:30:00",31.4724099712894
"2024-01-01 05:45:00",32.7389177914234
"2024-01-01 06:00:00",33.8524819972338
"2024-01-01 06:15:00",34.5584489928507
"2024-01-01 06:30:00",34.9075751399882
"2024-01-01 06:45:00",35.0269692897565
"2024-01-01 07:00:00",35.0437402932657
"2024-01-01 07:15:00",35.0551129074101
"2024-01-01 07:30:00",35.0387755122205
"2024-01-01 07:45:00",34.942532393512
"2024-01-01 08:00:00",34.7141878370995
"2024-01-01 08:15:00",34.3189519830508
"2024-01-01 08:30:00",33.7916583884442
"2024-01-01 08:45:00",33.1845464646108
"2024-01-01 09:00:00",32.5498556228816
"2024-01-01 09:15:00",31.8980098485661
"2024-01-01 09:30:00",31.0721714228873
"2024-01-01 09:45:00",29.8736872010466
"2024-01-01 10:00:00",28.1039040382454
"2024-01-01 10:15:00",25.6862324680122
"2024-01-01 10:30:00",23.0323377371839
"2024-01-01 10:45:00",20.6759487709247
"2024-01-01 11:00:00",19.1507944943987
"2024-01-01 11:15:00",18.8147205331697
"2024-01-01 11:30:00",19.3220393144005
"2024-01-01 11:45:00",20.1511799656537
"2024-01-01 12:00:00",20.7805716144919
"2024-01-01 12:15:00",20.8114005478767
"2024-01-01 12:30:00",20.3358816903657
"2024-01-01 12:45:00",19.5689871259155
"2024-01-01 13:00:00",18.7256889384825
"2024-01-01 13:15:00",17.9854737672055
"2024-01-01 13:30:00",17.3858864719514
"2024-01-01 13:45:00",16.9289864677692
"2024-01-01 14:00:00",16.616833169708
"2024-01-01 14:15:00",16.4251117140113
"2024-01-01 14:30:00",16.2240101217005
"2024-01-01 14:45:00",15.8573421349918
"2024-01-01 15:00:00",15.1689214961011
"2024-01-01 15:15:00",14.0441124003489
"2024-01-01 15:30:00",12.5344808554738
"2024-01-01 15:45:00",10.7331433223188
"2024-01-01 16:00:00",8.73321626172709
"2024-01-01 16:15:00",6.64843199853825
"2024-01-01 16:30:00",4.67498631357844
"2024-01-01 16:45:00",3.02969085167037
"2024-01-01 17:00:00",1.92935725763677
"2024-01-01 17:15:00",1.52614919385894
"2024-01-01 17:30:00",1.71363839295244
"2024-01-01 17:45:00",2.32074860509137
"2024-01-01 18:00:00",3.17640358044986
"2024-01-01 18:15:00",4.13395840559534
"2024-01-01 18:30:00",5.14449351266851
"2024-01-01 18:45:00",6.18352067020339
"2024-01-01 19:00:00",7.22655164673398
"2024-01-01 19:15:00",8.22798633536973
"2024-01-01 19:30:00",9.0577771275218
"2024-01-01 19:45:00",9.56476453917679
"2024-01-01 20:00:00",9.5977890863213
"2024-01-01 20:15:00",9.12679194678676
"2024-01-01 20:30:00",8.60611694578397
"2024-01-01 20:45:00",8.61120857036858
"2024-01-01 21:00:00",9.71751130759624
"2024-01-01 21:15:00",12.2827767181933
"2024-01-01 21:30:00",15.7939846575688
"2024-01-01 21:45:00",19.5204220548024
"2024-01-01 22:00:00",22.731375838974
