"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"1",1.37870233342857,5.9478222975,4.52954940457143,2.51871189307143,0.235754164928571,4.173779987,1.94355353635714,3.46321763792857,3.35847884621429,3.44412048421429,1.84465097628571,29.4092248297143,12.3514655037143,53.0600585506429,27.3814697393571,26.737892678,85.277251047
"2",1.36401649773005,5.90254606270671,4.52399501793956,2.52469293901289,0.234038115251829,4.17885334920414,1.92171676538515,3.43451605666414,3.33502808461765,3.42037002438129,1.82310496945335,29.6513972393839,12.4189567734227,52.4919787263761,27.3611335088301,26.6399365794469,85.3559654454124
"3",1.34958533204036,5.85827018331728,4.5174872384157,2.53047952739069,0.232039505911665,4.18422971963752,1.90022621432455,3.40254793788775,3.30757188588231,3.39229542752922,1.80241973035744,29.8883292246599,12.4856622030755,51.9997604192523,27.3325082959944,26.4941288602246,85.404725254073
"4",1.33523615391978,5.81408762300135,4.51037286780898,2.53601907016244,0.229757281312097,4.18896923203785,1.87886862286953,3.36714606518534,3.27609826774153,3.3598970461804,1.78228557472567,30.1143173789274,12.5494286114941,51.5663434130737,27.2955928332687,26.3036168520864,85.425541329072
"5",1.32079628092857,5.76909134542857,4.50299870792857,2.54125897928571,0.227190385857143,4.19213202014286,1.85743073071429,3.32814322214286,3.24059524792857,3.32317523285714,1.76239281828571,30.3236582955714,12.6081028175,51.1746674916429,27.2503858530714,26.0715478867857,85.4204245265
"6",1.3060903331142,5.72229900104485,4.49575698722431,2.54613584398011,0.224335068380626,4.19268221301047,1.83570069890386,3.28532158381936,3.2010216311179,3.2820924648332,1.74242693464029,30.5101382412073,12.6593687082108,50.8061007254082,27.1968894273211,25.8008011848556,85.3920185572382
"7",1.29093214047286,5.67242698740116,4.48922164070879,2.55054296251325,0.221176795435598,4.18919992097943,1.81347237388662,3.23826089116647,3.15721936974878,3.23645971838799,1.72205402889226,30.6655021753721,12.7002584439294,50.4357243314017,27.1351189859353,25.4931835219481,85.3454985513318
"8",1.27513283548795,5.61811638882474,4.4840120300353,2.55436281041477,0.217698338004913,4.18016924970868,1.79054102346179,3.18649027660891,3.1090012032017,3.18605009455236,1.70093536401953,30.7809847308329,12.7276412532547,50.0370478133016,27.065093298332,25.1502335624951,85.2866724936165
"9",1.25850355064286,5.55800828964286,4.48074751685714,2.55747786321429,0.213882467071429,4.16407430485714,1.76670191542857,3.12953887257143,3.05617987085714,3.13063669435714,1.678732203,30.8478205403571,12.7383863647857,49.5835806747857,26.9868311339286,24.7734899709286,85.2213483689286
"10",1.24086890598505,5.4911203403014,4.47982032962415,2.5598247101314,0.209725431468969,4.13987921548276,1.74174321083201,3.0671888541131,2.99871417738957,3.07018199507608,1.65513001943639,30.8597958705602,12.7301776656402,49.0566909863026,26.9003345646436,24.3658319677815,85.1521698881492
"11",1.22210747181822,5.41797645572095,4.48071416397236,2.56155639514557,0.20527739143523,4.10846820423939,1.7154246437004,3.00023456683031,2.93714718864936,3.00540597895452,1.62991112943066,30.82090352345,12.7039576770105,48.4691810853819,26.8055388723982,23.935500997992,85.0691236663411
