DATETIME,Wind01,Wind02,Wind03,Wind04,Wind05,Wind06,Wind07,Wind08,Wind09,Wind10,Wind11,Wind12,Wind13,Wind14,Wind15,Wind16,Wind17
1/1/24 0:00,0.458135147,3.724273617,2.477266582,0.769739598,0.902115969,0.877676173,1.942836719,13.84748371,11.69307518,12.76540429,5.058859058,0.822721879,1.687491773,4.500029716,8.25268809,0.297515707,9.669997165
1/1/24 0:15,0.519307486,5.120490026,2.642980153,0.969050563,0.938939179,1.670884837,2.890243303,14.46768315,12.73748332,13.50141888,6.775756352,3.677703001,3.941146355,5.228847365,8.301548245,0.306764166,8.774774578
1/1/24 0:30,0.609865348,6.267825812,2.792266797,1.064440598,0.957206087,2.056892383,3.627644658,14.75303958,13.22885608,13.85226206,7.990769196,4.653024979,4.871852134,5.723476873,8.304692153,0.253329317,7.84034
1/1/24 0:45,0.735232957,7.234878232,2.922537783,1.073364511,0.96030466,2.13608632,4.192445435,14.76676278,13.26964685,13.8888951,8.777155408,4.269105565,4.808211529,6.08414765,8.274176373,0.160542395,6.890092824
1/1/24 1:00,0.90083454,8.090244544,3.031204374,1.013277106,0.951622868,2.008854158,4.622050286,14.57206253,12.96230903,13.68227929,9.208172807,3.046362513,4.078826955,6.411089103,8.222057461,0.051734632,5.947432444
1/1/24 1:15,1.117381729,8.927034551,3.113979837,0.902805209,0.935143804,1.796694849,4.960971646,14.24316006,12.42658994,13.31649067,9.362502295,1.651624543,3.079563436,6.839524058,8.165076558,0,5.043329373
1/1/24 1:30,1.416735787,9.936408228,3.159785438,0.765263723,0.917231059,1.705553127,5.282153082,13.89832248,11.85141255,12.92806439,9.340517114,1.337364257,2.475336416,7.644649009,8.138713137,0,4.239038605
1/1/24 1:45,1.836045385,11.3340381,3.155844439,0.625139567,0.904843347,1.962485169,5.665645945,13.66682833,11.44299375,12.66665036,9.248013592,3.502465228,2.998323945,9.136653865,8.18313125,0,3.603386254
1/1/24 2:00,2.412459194,13.33559668,3.089380108,0.506919663,0.904939383,2.794547153,6.191501585,13.67795617,11.40755042,12.68189852,9.190788055,9.545811027,5.380704073,11.62572854,8.338494952,0,3.205198434
1/1/24 2:15,3.156688845,16.03419378,2.956105709,0.429230837,0.921502261,4.323238034,6.904232437,14.00592723,11.86482989,13.0578849,9.247521407,20.13423038,10.01834182,15.24709585,8.621545385,0.228501667,3.075445659
