"DATETIME","Solar01","Solar02","Solar03","Solar04","Solar05","Solar06","Solar07","Solar08","Solar09","Solar10","Solar11","Solar12","Solar13","Solar14","Solar15","Solar16","Solar17","Solar18","Solar19","Solar20","Solar21","Solar22","Solar23","Solar24","Solar25","Solar26","Solar27","Solar28","Solar29","Solar30","Solar31","Solar32","Solar33","Solar34","Solar35","Solar36","Solar37","Solar38","Solar39","Solar40","Solar41","Solar42","Solar43","Solar44","Solar45","Solar46","Solar47","Solar48","Solar49","Solar50","Solar51","Solar52","Solar53","Solar54","Solar55","Solar56","Solar57","Solar58","Solar59","Solar60","Solar61","Solar62","Solar63","Solar64","Solar65","Solar66","Solar67","Solar68","Solar69","Solar70","Solar71","Solar72","Solar73","Solar74","Solar75"
2024-01-01 01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-01 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-01 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-01 04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-01 05:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-01 06:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-01 07:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-01 08:00:00,0,32.7016021911955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.144900842801,33.1302840119621,26.4264293600199,22.3774746517344,4.70517552682624,19.5782904099466,4.46333175279029,3.16927738279413,0.27107146501406,0.27107146501406,0.27107146501406,0.2325783899517,0.2325783899517,0.2325783899517,0.2325783899517,0.2325783899517,0.2325783899517,0.2325783899517,0.143216044455276,0.714675986184491,2.12550991277139,1.62100393727666,2.18582267590159,1.40131933454591,2.41542183017486,2.42194569428891,1.04249997125336,1.22072587014565,1.27287801850625,2.15792773099832,0.132647300843555,0,20.1739085414744,9.44678723628321,17.9939166711479,0,13.4481475266218,32.4193347339399,47.8308987619199,43.3454816082178,16.3590967171019,12.9977782451133,0,0,0
2024-01-01 09:00:00,51.3554094214396,118.111880802397,54.9158189814492,1.86908673381579,0.0452808494281142,1.17788311375983,0.0820126883111403,0.966693830326181,4.9485660466169,0.318062034752585,0.763796085083313,0.591258862672045,0.101816915371023,4.50920801404223,4.05586447835729,1.70106090835182,1.15969492387459,4.75614594671481,0.0385076151096993,0.330201221753095,7.09202439608851,2.89889086159681,0.113096163961938,0.556883769387187,0.746641309453775,0.691441985264098,0.25332472153023,2.59416974876389,2.78710562837124,1.64035258007099,51.3428509230732,84.9588525033585,61.7807971218705,62.7065340372177,15.1509602427107,31.7422862929695,11.5970259828382,9.79034757521364,0.698585769234104,0.698585769234104,0.698585769234104,0.6043058819525,0.6043058819525,0.6043058819525,0.6043058819525,0.6043058819525,0.6043058819525,0.6043058819525,0.3721166789067,1.84181124905913,6.52286908141044,4.17753407720426,6.70795984738265,3.61137881191443,7.46158079647854,7.48173393850291,2.6866555072729,3.14596640031967,3.9732503313815,6.62235447215296,0.8980526914866,25.6073676583626,30.9715200132505,14.5029585787981,27.6247386148053,0,20.645953133258,58.6853796245505,57.5671190127363,84.8176047197644,48.3473351319374,19.8715221077263,15.1450161277644,22.4279078949176,9.75965088153255
2024-01-01 10:00:00,138.613059483722,200.315325264627,6.84586632103807,3.14273814126381,0.0761365697973991,2.64703544481144,0.137898578466078,1.62542781804898,8.32066643986934,0.347828435706038,1.28426950195019,0.994160273817898,0.171197996097854,7.58191674909168,6.81965141655474,2.4216342733361,1.94994560902486,7.99712554892656,0.0647478517421686,0.361103690102291,11.9247411931808,5.0336705613737,0.190163260849959,0.936360967439389,1.25542495091873,1.16261116204296,0.501740448282344,4.50454898752762,4.83956527609439,2.33520975571889,79.3870575919018,129.742959498104,90.246832674914,94.3774567216443,23.3164071349575,46.6689877162581,18.4948286651535,15.1420473372173,1.0436683565243,1.0436683565243,1.0436683565243,0.9637413734,0.9637413734,0.9637413734,0.9637413734,0.9637413734,0.9637413734,0.9637413734,0.593448202152,2.751616485748,8.78744548425008,6.2411235909659,9.03679511787283,5.3953028467065,11.5403062825667,11.5714757408706,4.0137910923903,4.6999892172181,6.293035880976,8.92146970529732,1.38688530024271,21.4266985764277,38.3821435293686,17.9731132838739,34.2345704060093,36.9873210323456,25.5859556173639,70.3706299320998,76.2764945723082,101.919173310593,77.1860211876332,19.1853317290481,31.467987171719,23.6193828717802,21.8847891769996
