"DATETIME","Solar-bus015","Solar-bus018","Solar-bus019","Solar-bus032","Solar-bus054","Solar-bus055","Solar-bus069","Solar-bus076","Solar-bus092","Solar-bus100","Solar-bus104","Solar-bus105","Solar-bus110","Solar-bus112"
"1/1/24 1:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1/1/24 2:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1/1/24 3:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1/1/24 4:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1/1/24 5:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1/1/24 6:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1/1/24 7:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1/1/24 8:00",9.44678723628321,13.4481475266218,38.1678252126223,0,0,0,0,0,76.0470837994133,16.3590967171019,81.4067897416092,96.8114647913212,41.955765061681,25.3660135172866
"1/1/24 9:00",52.2025067493693,27.8663896617002,58.5962586280558,53.2244961552554,54.9158189814492,9.75965088153255,40.752383786127,22.4279078949176,202.929485522161,48.3473351319374,213.233460791013,147.617678240034,94.4488203301872,71.7228784278733
"1/1/24 10:00",80.6507311936531,75.3804415007027,72.6167139353779,141.755797624986,6.84586632103807,21.8847891769996,52.8946857481467,23.6193828717802,302.23449857522,77.1860211876332,322.693256899877,182.433847119972,141.046444437902,108.145364746485
"1/1/24 11:00",85.8303817998608,106.790663915934,92.43255233446,46.7960880376747,27.6737019605183,22.2353108544581,100.892634744608,26.0051221538524,372.19849081651,91.7352819710131,390.526060001747,205.308935189728,120.061406379261,131.725632583908
"1/1/24 12:00",90.116579497234,133.757330946417,91.1751547039775,70.0935198910823,0,10.6317612926458,106.903069498025,21.8694041189194,408.369771307386,99.4768416591358,443.972204275017,226.589504553703,118.077178622388,143.47006098851
"1/1/24 13:00",87.8545523118115,167.35126328538,93.4173240362635,99.1471599776023,58.6736416297847,4.1806491447325,81.1687892080286,24.1232922321343,390.201863728481,96.1138271301551,438.510875935947,235.30498582221,129.212857138175,142.036008807159
"1/1/24 14:00",85.706517979681,150.626123980705,95.435341501175,42.6045395485748,51.4753423212928,15.122472301447,67.0240853629144,14.5853062218994,345.875683941133,86.1509713171396,388.129580243966,216.622376759675,141.69372090768,130.286999582919
"1/1/24 15:00",66.3452329408241,128.134968273702,66.0991649289621,58.4803967690967,43.2356103802201,11.086114835679,69.6672605785599,16.8380434505963,267.45887339519,75.2652478474696,299.664666981312,175.142498792417,80.9280175719677,100.524170370651
"1/1/24 16:00",47.9704674796839,129.474132472154,57.1402474779331,83.8479202322603,56.8125573956747,1.85849969760151,31.6921573087809,7.11542703611817,205.177825361293,62.4135676462784,202.299854441255,135.716946903897,57.1190585104223,65.9309007018672
"1/1/24 17:00",27.425955288836,76.5509403996716,42.5662248970989,22.1290215329947,8.54129820046244,0.536361829432658,12.9479597935126,0.53689832640283,51.6942705996651,31.4729025027191,76.831650784285,62.8710871710798,24.1824386306751,27.0854421900351
"1/1/24 18:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1/1/24 19:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1/1/24 20:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1/1/24 21:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1/1/24 22:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1/1/24 23:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1/1/24 0:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1/2/24 1:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1/2/24 2:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1/2/24 3:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1/2/24 4:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1/2/24 5:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1/2/24 6:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1/2/24 7:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1/2/24 8:00",0.117191144488324,38.7029380236306,0.473487018117427,0,30.0221675494174,0,0,0,73.9107761908672,23.2076827727465,78.2904775760597,113.827699036596,49.7037877356018,18.6128860682629
"1/2/24 9:00",18.1813802651611,55.5524259837555,3.58915477089585,1.16473617931683,82.9292757255788,0.199920811373736,30.3410313788127,16.9894592741584,106.619240979074,49.6846014967822,200.569552044775,175.702913138604,97.2938120250836,59.4869082836602
"1/2/24 10:00",29.1098221867748,22.1688587026963,0,2.09833650543562,165.167160209551,1.82797478119785,38.5355060989221,18.1325218276131,174.653256093601,86.1162253321779,316.023252971044,186.810163906754,167.586510559613,119.96029375054
"1/2/24 11:00",46.3616683248661,31.4073782808122,7.34021563931461,3.29955444539747,205.204881815617,3.6817269761946,42.5536260456209,17.5946705443751,141.871589409859,103.394914896912,348.804869484617,197.361847383243,191.643803223433,121.719294849452
"1/2/24 12:00",47.0614969914717,20.2758882145503,3.2772369393088,22.7507788072473,181.92139456768,0,53.5443646109343,11.6921399689579,93.7274864194279,77.9931617319915,427.708204538209,217.558845485717,143.072595111452,132.241115452965
"1/2/24 13:00",42.6915351032485,23.0772434325689,0,35.6360666657385,193.334567571724,0.438151142528132,50.3965810963291,11.8492578674407,156.07544076087,70.296780046072,380.053479802478,193.202998969664,137.224465945013,147.191631018867
"1/2/24 14:00",17.9136258188235,11.2401069458349,0,5.84318861689769,143.723972716807,0,46.6173809682445,10.940345673115,95.7026027940352,61.4355161805637,358.598668177244,167.686924350598,155.52623116889,115.41674118722
"1/2/24 15:00",18.2899086819149,10.463478134586,0,1.21584223815647,100.2571748681,0,33.1143620220557,13.5707816501656,66.3611325660083,61.204151834995,353.62370520404,148.148042530917,96.2653481108314,89.3644315128004
"1/2/24 16:00",9.8257006752109,9.6507827974463,5.02760601337995,0.514604787468814,79.0624009480348,0,45.9621069695647,3.13867834883669,54.2204558227729,42.7265551868922,284.877813544178,143.126725629516,69.182333105707,44.5549473449447
"1/2/24 17:00",5.2749193265738,2.94056229211989,4.13880579571541,19.8492443332716,15.9038297772088,1.19443217045455e-15,19.9460195393107,0,16.6480273352874,15.738470755415,87.6388113256317,19.6805543006917,14.2134701879037,10.0554029055593
"1/2/24 18:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1/2/24 19:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1/2/24 20:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1/2/24 21:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1/2/24 22:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1/2/24 23:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1/2/24 0:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0
