DATETIME,Solar-bus015,Solar-bus018,Solar-bus019,Solar-bus032,Solar-bus054,Solar-bus055,Solar-bus069,Solar-bus076,Solar-bus092,Solar-bus100,Solar-bus104,Solar-bus105,Solar-bus110,Solar-bus112
1/1/24 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/24 0:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/24 0:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/24 0:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/24 1:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/24 1:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/24 1:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/24 1:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/24 2:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/24 2:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/24 2:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/24 2:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/24 3:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/24 3:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/24 3:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/24 3:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/24 4:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/24 4:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/24 4:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/24 4:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/24 5:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/24 5:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/24 5:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/24 5:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/24 6:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/24 6:15,0,0,0,0,0,0,0,0,1.504882906,0.954568016,9.917749675,1.416564578,2.983155191,0.831209556
1/1/24 6:30,0.096124547,0.136839864,0.388371709,0,0,0,0,0,6.086774547,2.87567149,25.74722634,4.901410686,8.573849114,2.890987839
1/1/24 6:45,0.506407559,1.206552721,2.046036885,0,0,0,0,0,16.15600036,6.196606581,47.39729982,11.80250686,17.66691528,6.986913439
1/1/24 7:00,1.373481121,5.608563995,5.549271496,0.0197079,0,0,0,0,34.12288577,11.35066945,74.77684,23.46782162,31.1571872,13.92656492
1/1/24 7:15,2.936319101,13.30659353,11.30371497,9.779568157,0.716391176,0.258302574,3.400004354,0.258560942,61.42243646,18.54963193,107.4239022,40.63962945,49.43608134,24.15869228
1/1/24 7:30,5.093803083,23.07390911,18.72781477,24.3234239,2.610561729,0.69083947,8.659652912,0.691530484,95.58837898,27.11916868,143.3932836,61.63742865,70.88134595,36.69673116
1/1/24 7:45,7.749496536,33.23303744,26.99322041,42.41640225,6.510773061,1.317773581,15.56198159,1.319091687,133.1791201,36.16343002,180.3689672,84.17502344,93.36731229,50.19528862
1/1/24 8:00,11.91306357,42.37197911,35.27158136,62.90574688,13.24528658,2.159267799,23.8900263,2.161427611,170.7530667,44.78656627,216.0349356,105.9662181,114.7683116,63.30897169
1/1/24 8:15,17.68304078,49.34692578,42.88468151,84.26322598,23.2407427,3.196412401,33.17831049,3.199609619,205.4688167,52.28326376,248.5043681,125.1990705,133.40663,74.96433727
