"","X1","X2","X3"
"2024-01-01 01:00:00",5465.7296,1904.444801,2486.384086
"2024-01-01 01:15:00",5306.87359435525,1838.17288562173,2406.77975154845
"2024-01-01 01:30:00",5177.61866683825,1787.71501356855,2346.16991439793
"2024-01-01 01:45:00",5074.62135790212,1751.0661709811,2302.47932654845
"2024-01-01 02:00:00",4994.538208,1726.221344,2273.63274
"2024-01-01 02:15:00",4933.86120733822,1711.00925636038,2257.4179445992
"2024-01-01 02:30:00",4888.42414513601,1702.5935821754,2251.07488157914
"2024-01-01 02:45:00",4853.89626036579,1697.97173315272,2251.7065300195
"2024-01-01 03:00:00",4825.946792,1694.141121,2256.415869
"2024-01-01 03:15:00",4801.06773024498,1688.93046945238,2262.99068836724
"2024-01-01 03:30:00",4779.04207024271,1683.49375035486,2271.95802103552
"2024-01-01 03:45:00",4760.47555836909,1679.81624757991,2284.52971068603
"2024-01-01 04:00:00",4745.973941,1679.883245,2301.917601
"2024-01-01 04:15:00",4736.0729046506,1685.1943925801,2324.63356546309
"2024-01-01 04:30:00",4731.02789639313,1695.30680465517,2350.3895967788
"2024-01-01 04:45:00",4731.0243034391,1709.29196165265,2376.19771745511
"2024-01-01 05:00:00",4736.247513,1726.221344,2399.06995
"2024-01-01 05:15:00",4747.13405001199,1745.36797352409,2416.94204081167
"2024-01-01 05:30:00",4765.12499030976,1766.81103764948,2431.44463184929
"2024-01-01 05:45:00",4791.91254745266,1790.83126520012,2445.13208896226
"2024-01-01 06:00:00",4829.188935,1817.709385,2460.558778
"2024-01-01 06:15:00",4877.45858305144,1847.36846432353,2479.70526210274
"2024-01-01 06:30:00",4932.47478786781,1878.30092424693,2502.25689357406
"2024-01-01 06:45:00",4988.80306225028,1908.64152429687,2527.32522200834
"2024-01-01 07:00:00",5041.008919,1936.525024,2554.021797
"2024-01-01 07:15:00",5085.54051232914,1960.81403415053,2581.48458694923
"2024-01-01 07:30:00",5126.37656209398,1983.28257061279,2608.95723547948
"2024-01-01 07:45:00",5169.37842956183,2006.43250051866,2635.70980501999
"2024-01-01 08:00:00",5220.407476,2032.765691,2661.012358
"2024-01-01 08:15:00",5284.14944531951,2063.91967555872,2684.23799444408
"2024-01-01 08:30:00",5360.58761200626,2098.0746531769,2705.17196475803
"2024-01-01 08:45:00",5448.52963318988,2132.54648920662,2723.70255694296
"2024-01-01 09:00:00",5546.783166,2164.651049,2739.718059
"2024-01-01 09:15:00",5653.31139890846,2192.11306323958,2753.01406435258
"2024-01-01 09:30:00",5762.69964575598,2214.29272392963,2763.01538811341
"2024-01-01 09:45:00",5868.68875172552,2230.95908840486,2769.05415081754
"2024-01-01 10:00:00",5965.019562,2241.881214,2770.462473
"2024-01-01 10:15:00",6046.96379129666,2246.9667125611,2766.78257017686
"2024-01-01 10:30:00",6115.91663246981,2246.6774139796,2758.39703778832
"2024-01-01 10:45:00",6174.80414790806,2241.6137026583,2745.89856625563
"2024-01-01 11:00:00",6226.5524,2232.375963,2729.879846
"2024-01-01 11:15:00",6273.38459077991,2219.62256793791,2711.10821451811
"2024-01-01 11:30:00",6314.71248086477,2204.24384452697,2691.04959760829
"2024-01-01 11:45:00",6349.24497051725,2187.18810835255,2671.34456814433
"2024-01-01 12:00:00",6375.69096,2169.403675,2653.633699
"2024-01-01 12:15:00",6393.17872738058,2151.63543589038,2639.30219854759
"2024-01-01 12:30:00",6402.51406194611,2133.81458578751,2628.7138171535
"2024-01-01 12:45:00",6404.92213078858,2115.66889529088,2621.97694068267
"2024-01-01 13:00:00",6401.628101,2096.926135,2619.199955
"2024-01-01 13:15:00",6393.96320297901,2077.42001067243,2620.37729397903
