,Solar-bus015,Solar-bus018,Solar-bus019,Solar-bus032,Solar-bus054,Solar-bus055,Solar-bus069,Solar-bus076,Solar-bus092,Solar-bus100,Solar-bus104,Solar-bus105,Solar-bus110,Solar-bus112
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,2.075819611,10.07026436,8.439861003,3.711129122,0.831349682,0.031329117,3.072157783,0.492927097,17.83658824,3.22293921,12.8150338,19.87705563,9.620623092,5.040761745
27,5.607250822,24.33042172,20.2589555,10.23795007,2.787999772,0.240940769,7.697718636,1.430803668,44.22596988,8.052143969,31.79396806,47.24957129,23.48343368,12.63150052
28,10.81793312,40.6721607,33.54319044,20.21754528,6.562599836,0.806031926,13.53950028,2.977155141,76.69221782,14.1078861,55.17903696,77.09461089,39.84044326,22.22027342
29,17.93150601,56.98716992,46.37847279,34.28699717,12.84779944,1.903799557,20.26032042,5.29550694,112.759405,21.01043741,81.21247469,104.3892383,56.94366334,33.25513756
30,26.96875903,71.52893347,57.15624562,52.97914993,22.08781933,3.650749458,27.55986585,8.442796222,149.9932136,28.40950663,108.3956179,125.2032846,73.36107976,45.1288054
31,37.13908203,83.99811724,65.49009644,76.40989475,33.73316494,5.920622736,35.28529955,12.04960706,186.1257636,36.07255008,136.2662134,139.97765,88.92457567,57.01261091
32,47.44901487,94.45718259,71.29914887,104.5908846,46.98591287,8.526469326,43.32065357,15.63993527,218.9307842,43.79646098,164.62111,150.2460016,103.7820086,68.02254342
33,56.90509746,102.9685909,74.50252652,137.5337723,61.04813974,11.28133916,51.54995997,18.73777666,246.1820048,51.37813255,193.2571571,157.5420069,118.0812359,77.27459224
34,64.75083983,109.6318466,75.23055281,174.6693511,75.19532659,14.00717946,59.78397767,20.9797067,266.3873578,58.63138871,221.8663733,163.240232,131.8244537,84.18760999
35,71.17763265,114.6946265,74.45835026,213.104974,88.9965722,16.56152656,67.54037311,22.45261955,280.9915886,65.43777601,249.7214552,168.0788388,144.4312117,89.39190241
36,76.61383672,118.4416506,73.37224119,249.3671345,102.0943798,18.8108141,74.26353962,23.35598906,292.1736459,71.6957717,275.990269,172.6368881,155.1753982,93.82063853
37,81.48781287,121.1576388,73.15854792,279.9823258,114.1312526,20.6214757,79.39787052,23.88928904,302.1124782,77.30385304,299.8406809,177.4934405,163.3309014,98.40698737
38,86.1061475,123.1144223,74.66143555,302.4962113,124.8027251,21.89541087,82.59510715,24.22520404,312.5096453,82.16229962,320.6185686,183.0866294,168.4968834,103.8279447
39,90.2883295,124.532277,77.35644025,318.531134,134.0164577,22.67638262,84.33638296,24.42926137,323.157151,86.17860041,338.3818549,189.2908778,171.573602,109.7358133
40,93.73207334,125.6185901,80.37694098,330.7286071,141.733142,23.04361982,85.31017943,24.54019906,333.3696103,89.26204672,353.3664742,195.8396814,173.7865886,115.5267227
41,96.13509349,126.5807487,82.85631671,341.7301434,147.9134697,23.07635134,86.20497801,24.59675513,342.461638,91.32192987,365.8083608,202.4665356,176.3613747,120.5968023
42,97.31806788,127.5719631,84.12058451,353.4356063,152.5826096,22.85020857,87.5923165,24.62881668,349.8272047,92.34425552,375.9811353,208.8928207,180.1733151,124.4792649
43,97.59352825,128.5287367,84.26631396,364.778259,156.0236404,22.42643283,89.57595802,24.6308671,355.1777026,92.62188668,384.309164,214.7914559,184.6970569,127.2556563
44,97.39696978,129.3333958,83.58271277,373.9497149,158.5841179,21.86266794,92.14272198,24.58853889,358.3038798,92.52440072,391.2544993,219.8232451,189.0570705,129.1446052
45,97.16388763,129.868267,82.35898864,379.1415876,160.6115978,21.21655773,95.27942782,24.4874645,358.9964842,92.42137499,397.2791938,223.648992,192.377826,130.3647407
46,97.21930093,130.0758544,80.87564995,379.2398983,162.3882742,20.52375268,98.8578026,24.31597857,357.2173243,92.59190929,402.5957061,226.0119055,194.0409731,131.0930332
47,97.44632449,130.1393736,79.37840782,375.9082989,163.9348938,19.73192994,102.2892039,24.07322428,353.6124513,92.95319329,406.4181186,226.9848141,194.4568789,131.3398199
48,97.61759706,130.3022176,78.10427404,371.5048494,165.2068414,18.76677335,104.8698971,23.76104696,348.998977,93.33193909,407.7109199,226.7229517,194.2930895,131.0737797
49,97.50575738,130.8077798,77.29026039,368.3876097,166.1595019,17.55396673,105.8961474,23.38129193,344.1940133,93.55485879,405.4385987,225.3815517,194.2171514,130.2635912
50,96.90853859,131.7226388,77.11154734,368.0181678,166.6568007,16.03522523,104.8719975,22.92984193,339.7489099,93.45798095,398.9408286,223.1157378,194.5576302,128.8496944
