"X","X1","X2","X3"
"2024-06-01 00:00:00",5275.523901,1783.25285,2188.778158
"2024-06-01 00:15:00",5177.48128769805,1720.05176869321,2148.50239598162
"2024-06-01 00:30:00",5085.17107366268,1658.74774434606,2111.27463903663
"2024-06-01 00:45:00",4999.14853004598,1600.28845357588,2077.13512107332
"2024-06-01 01:00:00",4919.968928,1545.621573,2046.124076
"2024-06-01 01:15:00",4848.06037376176,1496.05064784534,2018.27738665039
"2024-06-01 01:30:00",4783.34231390794,1454.3026977772,1993.61353155994
"2024-06-01 01:45:00",4725.60703010015,1423.46061107046,1972.14663818952
"2024-06-01 02:00:00",4674.646804,1406.607276,1953.890834
"2024-06-01 02:15:00",4630.46955995803,1405.32384745667,1938.91862893244
"2024-06-01 02:30:00",4593.94579308055,1415.18454679514,1927.53606284862
"2024-06-01 02:45:00",4566.1616411628,1430.26186198604,1920.10755809048
"2024-06-01 03:00:00",4548.203242,1444.628281,1916.997537
"2024-06-01 03:15:00",4540.99545698422,1453.90450418735,1918.57182619797
"2024-06-01 03:30:00",4544.81804189484,1459.90408141723,1925.20186942059
"2024-06-01 03:45:00",4559.78947610803,1465.9887749385,1937.26051468292
"2024-06-01 04:00:00",4586.028239,1475.520347,1955.12061
"2024-06-01 04:15:00",4623.49125727694,1490.73391290331,1978.9180664788
"2024-06-01 04:30:00",4671.48924696509,1509.35800016093,2007.84104759401
"2024-06-01 04:45:00",4729.17137142069,1527.99448933808,2040.84077991221
"2024-06-01 05:00:00",4795.686794,1543.245261,2076.86849
"2024-06-01 05:15:00",4869.97899559552,1552.90690146504,2115.03392213681
"2024-06-01 05:30:00",4950.1687272448,1559.55482006406,2155.08089145338
"2024-06-01 05:45:00",5034.17105752169,1566.95913188105,2196.91173079326
"2024-06-01 06:00:00",5119.901055,1578.889952,2240.428773
"2024-06-01 06:15:00",5205.97100605975,1598.23139604903,2285.67524423956
"2024-06-01 06:30:00",5293.7820683057,1624.32358183283,2333.25794396747
"2024-06-01 06:45:00",5385.4326171488,1655.62062770021,2383.92456496164
"2024-06-01 07:00:00",5483.021028,1690.576652,2438.4228
"2024-06-01 07:15:00",5586.95745393112,1727.48879776071,2496.72060507681
"2024-06-01 07:30:00",5690.89915865741,1764.02630672962,2555.66698905173
"2024-06-01 07:45:00",5786.815183555,1797.70144533373,2611.33122400079
"2024-06-01 08:00:00",5866.67457,1826.02648,2659.782582
"2024-06-01 08:15:00",5924.80396204391,1847.26641520501,2698.31980037508
"2024-06-01 08:30:00",5964.96041443967,1862.69720762368,2729.1594774506
"2024-06-01 08:45:00",5993.25858461559,1874.34755198051,2755.74767680082
"2024-06-01 09:00:00",6015.81313,1884.246143,2781.530462
"2024-06-01 09:15:00",6037.93673117451,1894.31531016924,2809.23608848536
"2024-06-01 09:30:00",6061.73416133393,1906.05192202565,2838.72157914587
"2024-06-01 09:45:00",6088.50821682639,1920.84648186923,2869.12614873345
"2024-06-01 10:00:00",6119.561694,1940.089493,2899.589012
"2024-06-01 10:15:00",6155.40973641432,1964.41718791491,2929.08491666785
"2024-06-01 10:30:00",6193.41687647462,1991.44871589872,2955.93074234092
"2024-06-01 10:45:00",6230.15999379761,2018.04895543318,2978.27890159352
"2024-06-01 11:00:00",6262.215968,2041.082785,2994.281807
"2024-06-01 11:15:00",6287.07475807446,2058.16221879614,3002.73736757762
"2024-06-01 11:30:00",6305.87864051758,2069.88781387946,3005.02547811547
"2024-06-01 11:45:00",6320.68297120191,2077.60726302305,3003.17152984558
"2024-06-01 12:00:00",6333.543106,2082.668259,2999.200914
"2024-06-01 12:15:00",6346.01379831908,2086.26349613491,2994.79675095918
"2024-06-01 12:30:00",6357.64739170505,2088.96567495843,2990.27307769722
"2024-06-01 12:45:00",6367.4956272385,2091.19249755274,2985.60166033665
"2024-06-01 13:00:00",6374.610246,2093.361666,2980.754265
"2024-06-01 13:15:00",6378.4231008836,2095.87513017985,2975.7729260388
"2024-06-01 13:30:00",6379.88649203721,2099.07183116181,2970.98075072065
"2024-06-01 13:45:00",6380.33283142222,2103.27495781286,2966.77111454218
"2024-06-01 14:00:00",6381.094531,2108.807699,2963.537393
"2024-06-01 14:15:00",6382.99074274027,2115.59860769257,2961.5996526825
"2024-06-01 14:30:00",6384.7875786461,2121.99769326934,2960.98472454517
"2024-06-01 14:45:00",6384.73789072888,2125.96032921144,2961.64613063525
"2024-06-01 15:00:00",6381.094531,2125.441889,2963.537393
"2024-06-01 15:15:00",6372.63502076468,2118.98953492487,2966.41226540306
