,Wind01,Wind02,Wind03,Wind04,Wind05,Wind06,Wind07,Wind08,Wind09,Wind10,Wind11,Wind12,Wind13,Wind14,Wind15,Wind16,Wind17
1,1.046794494,4.027629759,2.204279656,0.990754625,0.159290061,2.140055645,1.616875844,2.44406179,2.260967504,2.314016124,1.727009365,17.98463846,5.724925656,50.76074674,13.8004072,24.35147806,24.81174017
2,1.052604031,4.08844181,2.2133653,0.997622337,0.159745258,2.174645996,1.625420228,2.450168423,2.266432306,2.32025751,1.737084254,18.18174364,5.834757365,50.46892858,13.84828245,24.16341592,24.90916366
3,1.057982556,4.144183673,2.220966813,1.003579111,0.160251329,2.206742612,1.633057752,2.457584403,2.27273274,2.327487407,1.745537394,18.3724983,5.938096751,50.17448556,13.89699426,23.97614627,24.98625694
4,1.062775239,4.194926872,2.227234905,1.008676305,0.160794613,2.236219369,1.639621272,2.466021337,2.279660381,2.33545928,1.752349364,18.5552876,6.03514696,49.87698843,13.94565023,23.78769214,25.04307893
5,1.066827249,4.240742932,2.232320287,1.012965279,0.161361452,2.262950148,1.644943648,2.47519083,2.287006805,2.343926592,1.75750074,18.72849672,6.126111136,49.57600793,13.99335797,23.59607657,25.07968855
6,1.069967185,4.281639716,2.236368255,1.016491371,0.161937359,2.28679559,1.648836284,2.484783336,2.294548648,2.352623863,1.760953597,18.89056053,6.211261816,49.2708639,14.03909295,23.39927668,25.09594527
7,1.07195737,4.317370454,2.23950245,1.019275829,0.162504543,2.307563394,1.651024768,2.4944047,2.302002792,2.361209836,1.762595977,19.04011278,6.291149095,48.95987268,14.08130204,23.19508586,25.09091071
8,1.072543554,4.347624715,2.241841098,1.021333882,0.163044382,2.325048024,1.651213236,2.503639616,2.30907118,2.36932431,1.762297418,19.17583693,6.366392459,48.64109969,14.11829996,22.98125157,25.06344705
9,1.071471491,4.372092068,2.243502429,1.022680756,0.163538258,2.339043944,1.649105822,2.512072775,2.315455753,2.376607082,1.759927458,19.29641641,6.437611394,48.31261038,14.14840144,22.75552125,25.01241644
10,1.068569779,4.390780378,2.244631736,1.02336179,0.163971683,2.349411795,1.644513931,2.519394631,2.32093315,2.382792672,1.755448168,19.40028613,6.505078436,47.9737246,14.17058194,22.51587203,24.93767836
11,1.063998409,4.404970692,2.245482595,1.023542759,0.164346709,2.356276937,1.637678045,2.525718682,2.325578782,2.387994488,1.749191759,19.48488667,6.567678317,47.62877986,14.18645989,22.26119965,24.84308144
12,1.05800022,4.416262348,2.246335649,1.023419547,0.16466952,2.359830908,1.628945917,2.531264185,2.329542758,2.392420655,1.741582973,19.54741008,6.623948821,47.28336809,14.19831444,21.99062948,24.73347161
13,1.050818049,4.426254688,2.24747154,1.023188039,0.164946301,2.360265249,1.618665297,2.536250399,2.332975184,2.396279303,1.733046556,19.58504837,6.672427729,46.94308121,14.20842475,21.70328694,24.6136948
14,1.042711192,4.436267689,2.249013046,1.022974346,0.165179571,2.357816955,1.607214361,2.540818736,2.335974676,2.399709724,1.724012288,19.59609309,6.711899754,46.61352196,14.21896258,21.3993048,24.48815257
15,1.034004761,4.446503882,2.25045149,1.022625482,0.165357194,2.352904859,1.595092974,2.544799236,2.338433884,2.402575881,1.714930091,19.58323377,6.742137328,46.30033635,14.23167002,21.08284545,24.35946897
16,1.025040328,4.456886431,2.251120328,1.021918687,0.16546337,2.345993252,1.582831423,2.547944092,2.340193967,2.404672901,1.706254926,19.55025945,6.763159813,46.00918119,14.24818173,20.75907864,24.22982369
17,1.016159462,4.467338505,2.250353016,1.0206312,0.165482298,2.337546424,1.570959997,2.5500055,2.341096083,2.405795912,1.698441752,19.50095917,6.77498657,45.74571329,14.27013239,20.43317416,24.10139641
18,1.007643843,4.47763604,2.247625992,1.018597262,0.165402397,2.327991595,1.559908057,2.550772393,2.341007878,2.405774854,1.691830919,19.43887434,6.77780846,45.51384536,14.29857848,20.10956637,23.9747921
19,0.999535595,4.486966062,2.24298761,1.015879119,0.165228973,2.317607697,1.549701272,2.550180674,2.339902948,2.404578913,1.686304345,19.3665559,6.772502347,45.31051363,14.33226371,19.78974808,23.84431691
20,0.991816953,4.494368368,2.236629208,1.012596015,0.16497155,2.306636593,1.540264384,2.548202985,2.337781378,2.402212089,1.681629335,19.28630716,6.760116595,45.13091021,14.36935357,19.47447669,23.70270226
21,0.984470151,4.498882753,2.228742121,1.008867198,0.164639654,2.295320144,1.531522133,2.544811967,2.334643252,2.398678381,1.677573197,19.20043142,6.741699565,44.97022721,14.40801357,19.1645096,23.54267958
22,0.977435414,4.49970494,2.219540024,1.004803656,0.164240338,2.283797198,1.523328336,2.539976338,2.330469552,2.393965517,1.673845014,19.11069206,6.718195249,44.82339467,14.44697756,18.86065657,23.35700123
23,0.970484925,4.496654354,2.209325942,1.00048335,0.163770766,2.271794547,1.515253092,2.533649115,2.325164858,2.387996146,1.669920962,19.01669269,6.690130143,44.68429417,14.48725279,18.56393675,23.13850329
24,0.963348859,4.489706345,2.198425239,0.995975982,0.163225628,2.258935967,1.506795575,2.52577939,2.318614647,2.380676646,1.665218995,18.91749699,6.65792637,44.54654523,14.53041485,18.27542165,22.88004277
25,0.955757389,4.478836263,2.187163278,0.991351255,0.162599617,2.244845236,1.497454958,2.516316255,2.310704397,2.371913396,1.659157066,18.81216866,6.622006054,44.40376735,14.57803935,17.99618277,22.57447668
26,0.947514868,4.464158803,2.175860312,0.986686142,0.161884753,2.229178099,1.48686187,2.505214652,2.301315681,2.361600119,1.651303463,18.69944149,6.582462537,44.25281337,14.63138954,17.7285345,22.21862923
27,0.938722353,4.446346033,2.164816139,0.982086695,0.161062379,2.211718172,1.475172762,2.492452921,2.290314448,2.349579917,1.641827827,18.57672986,6.538074043,44.10346937,14.69047937,17.47976284,21.8251935
28,0.929555083,4.426209365,2.154325449,0.977666235,0.160111167,2.192281035,1.462675543,2.47801525,2.277562743,2.335683237,1.631050132,18.44111826,6.487290016,43.96875477,14.75501045,17.25839671,21.41082976
29,0.920188293,4.404560212,2.14468293,0.973538086,0.159009788,2.170682272,1.449658121,2.461885829,2.262922611,2.319740526,1.619290356,18.28969119,6.428559901,43.86168898,14.82468438,17.07296498,20.99219829
30,0.910791267,4.382127756,2.136138293,0.969810289,0.157747756,2.146862999,1.436400627,2.444109137,2.246347094,2.301698423,1.606867486,18.12044338,6.360839291,43.79297296,14.8990618,16.93017936,20.58408421
31,0.901509472,4.359312257,2.128761343,0.966569772,0.156357935,2.121266466,1.423152095,2.424970814,2.228153221,2.281968343,1.594096557,17.93501058,6.285108382,43.76403385,14.97713934,16.82948271,20.19377194
32,0.892482421,4.336431743,2.122576908,0.96389818,0.15488403,2.094461458,1.41015378,2.404816792,2.208749016,2.261077891,1.581291615,17.73593878,6.202853521,43.77398031,15.05777267,16.7685007,19.82667074
33,0.883849629,4.313804244,2.117609817,0.961877161,0.153369747,2.067016758,1.397646941,2.383993001,2.188542507,2.239554674,1.568766706,17.52577396,6.115561053,43.82192103,15.13981744,16.74485901,19.48818989
34,0.875713692,4.291805095,2.113790632,0.960529315,0.151858835,2.039546028,1.38582489,2.362899925,2.167994035,2.217947277,1.556807086,17.30811065,6.025108605,43.90493889,15.22201517,16.75431529,19.18275186
35,0.868029547,4.271038861,2.110672857,0.95964105,0.150395218,2.01284244,1.374689167,2.342156249,2.14777321,2.196888204,1.545582852,17.09073749,5.934938929,44.01201365,15.30265077,16.78515522,18.91083205
36,0.860715213,4.252167413,2.107715732,0.958939727,0.149022865,1.987744043,1.364193369,2.322435213,2.128601961,2.177030936,1.535235308,16.88249166,5.848886054,44.13009928,15.37989504,16.82379646,18.67191909
37,0.853688709,4.235852621,2.104378494,0.958152707,0.147785746,1.965088886,1.35429109,2.304410054,2.111202215,2.159028954,1.52590576,16.69221033,5.770784014,44.24614973,15.45191874,16.85665667,18.46550158
38,0.846855724,4.222521089,2.100172631,0.957024524,0.146716231,1.945370021,1.34490061,2.288608945,2.096140825,2.143373328,1.517666823,16.52599075,5.703243064,44.34986844,15.51693578,16.87288777,18.29048029
39,0.840072617,4.211658345,2.094818622,0.955368413,0.14580031,1.927700517,1.335798931,2.274979792,2.083364348,2.129905486,1.510316353,16.37897049,5.643978358,44.44195664,15.57333251,16.87257869,18.1434046
