,1,2,3
1,5266.878187,1553.938668,2117.451117
2,5084.427705,1529.410687,2081.18989
3,4948.512498,1511.18487,2056.971581
4,4854.522644,1499.186959,2044.853836
5,4797.848223,1493.342692,2044.894299
6,4773.588771,1493.58029,2056.998158
7,4775.681661,1499.837888,2080.46076
8,4797.773724,1512.0561,2114.424992
9,4833.511791,1530.17554,2158.033743
10,4877.995401,1554.124428,2211.192199
11,4932.134914,1583.781403,2276.854738
12,4998.293397,1619.012707,2358.738039
13,5078.833916,1659.684586,2460.558778
14,5175.158519,1705.561865,2582.73338
15,5284.825175,1756.003696,2712.477252
16,5404.430837,1810.267814,2833.70555
17,5530.572453,1867.611953,2930.333426
18,5660.026259,1926.839364,2990.548268
19,5790.285629,1984.935359,3019.626392
20,5919.023223,2038.430767,3027.116343
21,6043.911699,2083.856415,3022.566668
22,6162.242809,2118.715676,3014.380882
23,6269.784675,2144.402095,3006.382359
24,6361.924509,2163.281763,3001.24944
25,6434.049527,2177.720769,3001.660467
26,6483.634277,2189.657035,3009.429555
27,6516.502657,2199.315803,3022.913917
28,6540.565898,2206.494149,3039.606541
29,6563.735231,2210.989148,3057.000412
30,6592.268875,2212.81819,3072.943884
31,6625.812991,2212.879921,3086.706767
32,6662.360724,2212.293305,3097.914238
33,6699.905221,2212.177305,3106.191475
34,6736.675264,2213.160662,3111.259737
35,6771.842181,2213.911245,3113.224627
36,6804.812937,2212.606701,3112.287829
37,6834.994496,2207.424679,3108.651028
38,6861.339146,2197.262316,3102.833045
39,6880.98047,2183.89471,3096.621242
40,6890.597378,2169.816446,3092.120113
41,6886.868778,2157.522111,3091.434156
42,6867.90467,2148.826527,3095.879699
43,6837.539422,2142.825454,3103.6204
44,6801.038498,2137.934889,3112.03175
45,6763.667359,2132.570827,3118.48924
46,6729.82906,2125.570815,3120.936497
47,6700.477037,2117.458601,3119.589682
48,6675.70232,2109.179483,3115.233093
49,6655.595938,2101.678761,3108.651028
50,6639.937161,2095.600764,3100.546128
51,6627.258213,2090.385946,3091.294409
52,6615.779557,2085.173793,3081.190231
53,6603.721657,2079.10379,3070.527954
54,6590.367483,2071.856402,3060.686283
55,6579.250038,2065.276021,3057.381292
56,6574.964831,2061.748016,3067.413404
57,6582.107373,2063.657757,3097.583039
58,6604.475728,2073.551239,3152.356425
59,6642.678186,2094.616955,3226.863026
60,6696.525591,2130.20402,3313.898113
61,6765.828787,2183.661551,3406.256957
62,6849.064225,2255.391517,3496.205879
63,6939.370782,2334.007296,3573.895398
64,7028.552942,2405.175116,3628.94708
65,7108.41519,2454.561207,3650.982493
66,7171.814293,2472.033789,3633.842616
67,7215.816154,2464.269037,3588.246071
68,7238.538959,2442.14512,3529.130892
69,7238.100894,2416.540203,3471.435115
70,7213.933172,2395.963341,3426.295641
71,7170.71911,2379.447153,3389.644858
72,7114.45505,2363.655143,3353.614021
73,7051.137337,2345.25082,3310.334385
74,6985.422455,2321.679422,3253.737419
75,6916.60746,2293.513127,3184.955451
76,6842.649553,2262.105847,3106.92102
77,6761.50593,2228.811494,3022.566668
78,6671.515899,2194.52319,2934.595726
79,6572.547192,2158.29091,2844.794688
80,6464.849647,2118.70384,2754.720839
81,6348.673105,2074.351164,2665.931465
82,6224.619191,2024.475057,2580.061236
83,6094.696684,1970.929641,2499.054366
84,5961.266147,1916.222028,2424.932454
85,5826.688144,1862.859328,2359.7171
86,5694.083794,1813.128243,2305.003694
87,5569.616428,1768.433844,2260.682796
88,5460.209928,1729.960791,2226.218755
89,5372.788179,1698.893747,2201.075923
90,5312.198185,1676.014809,2184.578293
91,5274.979429,1660.495826,2175.48843
92,5255.594515,1651.106083,2172.428543
93,5248.506046,1646.614866,2174.020839
94,5248.834038,1645.932709,2179.010476
95,5254.328167,1648.535143,2186.634413
96,5263.39552,1654.038947,2196.252554
97,5274.443186,1662.060899,2207.224806
98,5285.257932,1671.99965,2218.636496
99,5291.145241,1682.381341,2228.474625
100,5286.790272,1691.513984,2234.451616
